book_id,token_count,tfidf_nonzero,unique_terms,sparsity_percent
28,7433,1748,1748,2.367
38,102033,2500,2500,3.385
65,91,22,22,0.030
68,28861,2500,2500,3.385
70,46489,2500,2500,3.385
92,34767,2500,2500,3.385
96,29376,2500,2500,3.385
118,35659,2500,2500,3.385
148,31428,2500,2500,3.385
166,29473,2500,2500,3.385
172,33120,2500,2500,3.385
200,716628,2500,2500,3.385
271,28480,2500,2500,3.385
283,47408,2500,2500,3.385
292,44139,2500,2500,3.385
295,21706,2500,2500,3.385
315,13420,2500,2500,3.385
322,48360,2500,2500,3.385
337,27921,2500,2500,3.385
356,19128,2500,2500,3.385
362,37466,2500,2500,3.385
389,10794,2230,2230,3.020
401,27246,2500,2500,3.385
446,47232,2500,2500,3.385
454,37476,2500,2500,3.385
473,26263,2500,2500,3.385
474,28940,2500,2500,3.385
502,58074,2500,2500,3.385
507,109050,2500,2500,3.385
518,19320,2500,2500,3.385
528,23092,2470,2470,3.345
555,25445,2500,2500,3.385
601,67872,2500,2500,3.385
624,36997,2500,2500,3.385
641,48785,2500,2500,3.385
705,13369,2500,2500,3.385
716,30734,2500,2500,3.385
809,7025,1676,1676,2.270
853,7765,1591,1591,2.155
872,47257,2500,2500,3.385
898,12247,2357,2357,3.192
934,10090,2500,2500,3.385
953,23469,2500,2500,3.385
966,18549,2500,2500,3.385
1066,29254,2500,2500,3.385
1083,51582,2500,2500,3.385
1111,12932,2500,2500,3.385
1119,16111,2500,2500,3.385
1122,15855,2500,2500,3.385
1127,14635,2500,2500,3.385
1129,10092,2309,2309,3.127
1134,13658,2500,2500,3.385
1272,42186,2500,2500,3.385
1305,11180,2500,2500,3.385
1365,180090,2500,2500,3.385
1395,16153,2500,2500,3.385
1443,29144,2500,2500,3.385
1448,44831,2500,2500,3.385
1453,36254,2500,2500,3.385
1488,14193,1800,1800,2.438
1491,18356,2500,2500,3.385
1570,18992,2148,2148,2.909
1577,33585,2500,2500,3.385
1588,23943,2500,2500,3.385
1611,37175,2500,2500,3.385
1625,14416,2105,2105,2.851
1640,45755,2500,2500,3.385
1649,23106,2500,2500,3.385
1713,64243,2500,2500,3.385
1736,8019,1400,1400,1.896
1739,22639,2500,2500,3.385
1740,41858,2500,2500,3.385
1745,85880,2500,2500,3.385
1756,8148,1576,1576,2.134
1799,16189,2500,2500,3.385
1809,39761,2500,2500,3.385
1826,6904,2188,2188,2.963
1845,39548,2500,2500,3.385
1885,37204,2500,2500,3.385
1887,36948,2500,2500,3.385
1898,21335,2500,2500,3.385
1905,24230,2500,2500,3.385
1911,8340,1496,1496,2.026
1946,139538,2500,2500,3.385
1953,12343,2189,2189,2.964
1960,16585,2500,2500,3.385
1969,34516,2500,2500,3.385
1976,60423,2500,2500,3.385
1999,31224,2500,2500,3.385
2011,32058,2500,2500,3.385
2037,34361,2500,2500,3.385
2044,94355,2500,2500,3.385
2057,39779,2500,2500,3.385
2079,33920,2500,2500,3.385
2101,10041,2500,2500,3.385
2103,29958,2500,2500,3.385
2115,41762,2500,2500,3.385
2125,79627,2500,2500,3.385
2145,100348,2500,2500,3.385
2158,126528,2500,2500,3.385
2199,75734,2500,2500,3.385
2237,12922,2364,2364,3.201
2242,9700,2261,2261,3.062
2272,16738,2308,2308,3.125
2285,31086,2500,2500,3.385
2323,66953,2500,2500,3.385
2327,18945,2500,2500,3.385
2329,26876,2500,2500,3.385
2332,147182,2500,2500,3.385
2352,8786,1836,1836,2.486
2358,23915,2500,2500,3.385
2375,13864,2500,2500,3.385
2390,40490,2500,2500,3.385
2429,21281,2500,2500,3.385
2444,16578,2500,2500,3.385
2478,24860,2500,2500,3.385
2484,70166,2500,2500,3.385
2500,19443,2201,2201,2.981
2507,31058,2500,2500,3.385
2515,44079,2500,2500,3.385
2552,56116,2500,2500,3.385
2560,33050,2500,2500,3.385
2595,21069,2500,2500,3.385
2634,11077,2500,2500,3.385
2645,9164,2500,2500,3.385
2672,44764,2500,2500,3.385
2688,28132,2500,2500,3.385
2696,71746,2500,2500,3.385
2718,7960,1873,1873,2.536
2727,24800,2500,2500,3.385
2760,311451,2500,2500,3.385
2795,42658,2500,2500,3.385
2808,14007,2500,2500,3.385
2909,8612,1376,1376,1.863
2933,5834,1324,1324,1.793
2986,40447,2500,2500,3.385
3042,26118,2500,2500,3.385
3124,14229,2500,2500,3.385
3125,105283,2500,2500,3.385
3152,66067,2500,2500,3.385
3162,13748,2500,2500,3.385
3200,1419812,2500,2500,3.385
3228,11224,2385,2385,3.230
3238,9734,2207,2207,2.989
3242,50945,2500,2500,3.385
3284,104530,2500,2500,3.385
3345,21686,2500,2500,3.385
3353,21955,2500,2500,3.385
3354,16000,2500,2500,3.385
3452,10660,2500,2500,3.385
3457,66642,2500,2500,3.385
3460,68243,2500,2500,3.385
3462,40068,2500,2500,3.385
3482,25764,2500,2500,3.385
3559,15839,2500,2500,3.385
3589,10103,2500,2500,3.385
3593,14011,2500,2500,3.385
3605,33752,2500,2500,3.385
3619,30232,2500,2500,3.385
3620,74827,2500,2500,3.385
3642,12155,1888,1888,2.557
