term_id,term,df
2,negro,482
3,washington,575
4,booker,17
6,pg,379
9,colour,791
10,race,1377
12,school,1407
13,educ,1211
14,slave,981
17,white,1563
26,student,895
29,institut,957
31,mr,1422
33,labour,743
42,train,1464
44,tuskege,4
50,thu,1561
52,southern,909
57,hampton,126
60,black,1532
61,south,1299
62,number,1577
64,armstrong,86
67,industri,989
68,slaveri,467
72,interest,1571
79,condit,1486
80,war,1374
84,town,1466
86,teacher,834
88,progress,1322
92,women,1438
93,fact,1567
100,servic,1501
101,colleg,908
103,practic,1479
104,regard,1496
105,advanc,1462
109,abl,1563
111,american,1099
112,indian,979
116,success,1531
117,becam,1515
121,actual,1357
122,someth,1577
123,plantat,388
125,boy,1482
127,mother,1507
128,pupil,741
129,class,1334
130,build,1478
131,famili,1507
134,case,1579
139,remark,1515
141,valu,1395
142,howev,1569
145,master,1503
147,freedom,1133
151,wonder,1574
155,presid,988
156,northern,903
157,hardli,1440
158,account,1564
159,effect,1526
166,knowledg,1489
167,teach,1310
169,chief,1401
170,probabl,1477
172,unit,1315
175,popular,1117
176,leader,1030
178,ignor,1369
180,republ,490
181,univers,1241
182,popul,844
188,ex,538
189,difficulti,1431
190,futur,1456
192,provid,1463
193,north,1324
194,virginia,366
195,result,1452
196,dure,1553
200,age,1566
201,favour,755
202,emancip,346
204,common,1530
206,child,1468
207,complet,1541
208,thousand,1530
209,desir,1577
212,land,1572
214,money,1432
215,idea,1522
220,civil,1224
221,exist,1405
222,planter,176
223,improv,1213
227,respect,1546
229,church,1315
230,expect,1572
231,rais,1576
233,public,1443
234,cabin,647
236,owner,1075
237,experi,1481
238,farm,944
239,self,1439
240,until,1550
241,ten,1568
242,earli,1558
244,grow,1537
245,refer,1342
246,benefit,1165
249,prove,1547
250,counti,717
253,realis,381
256,chapter,1295
257,situat,1336
259,miss,1433
261,distinguish,1319
262,opinion,1422
264,capac,938
268,centuri,1148
272,social,995
274,instanc,1321
275,civilis,276
277,compar,1427
278,govern,1250
279,commun,1344
280,articl,1204
281,studi,1469
282,alabama,116
286,era,483
287,develop,1180
289,nation,1300
290,monthli,367
291,repres,1323
293,forti,1345
294,surround,1385
295,sentiment,1070
299,dark,1569
302,associ,1207
305,sens,1521
306,room,1563
308,exampl,1328
311,effort,1431
312,hundr,1561
313,aim,1176
314,higher,1372
315,main,1305
316,connect,1356
317,enterpris,828
318,attend,1462
319,habit,1402
320,qualiti,1285
323,ago,1490
324,similar,1219
326,opportun,1397
327,increas,1466
328,inspir,1176
329,measur,1457
330,possess,1541
331,instead,1528
332,danger,1522
334,polit,1278
335,charact,1471
336,employ,1329
339,human,1510
341,itself,1576
342,necessari,1503
343,ordinari,1307
344,circumst,1386
345,understand,1555
346,happen,1519
347,outsid,1414
348,occas,1453
349,acquaint,1367
350,bondag,332
352,letter,1519
353,object,1525
354,imposs,1457
355,characterist,1038
356,establish,1307
357,import,1522
358,concern,1473
361,illustr,1184
362,includ,1280
363,america,1009
367,newspap,910
368,million,963
369,command,1485
370,wide,1519
371,recognis,523
373,problem,932
374,round,1567
376,amid,826
377,anyth,1488
379,wood,1463
380,children,1502
382,household,1011
383,suppos,1556
384,consid,1544
385,period,1329
386,tend,1041
388,offic,1507
390,sympathi,1136
391,subject,1530
394,georgia,188
395,meant,1393
397,persever,437
398,although,1376
399,religi,962
401,air,1562
402,folk,958
403,advantag,1364
404,compet,772
405,obtain,1282
406,individu,1218
407,extend,1290
408,destin,1012
409,outlook,369
410,taught,1275
411,capabl,1171
412,proport,1094
413,plan,1483
414,stood,1493
415,acr,629
416,nashvil,49
417,belt,749
418,worth,1501
419,edit,890
420,john,1234
421,brown,1306
422,fulli,1336
423,gain,1476
424,superior,1203
425,view,1578
427,prepar,1567
428,visit,1501
429,thirti,1374
430,altogeth,1298
431,consider,1448
432,writer,1056
433,greater,1468
434,mere,1505
435,lad,851
436,clearli,1254
437,law,1513
438,twenti,1538
439,woman,1455
440,observ,1500
441,accommod,764
442,suffer,1506
443,cheer,1356
444,field,1512
445,armi,1166
446,illiter,164
447,sign,1527
448,excit,1389
449,girl,1342
450,member,1354
451,gift,1253
455,agricultur,511
456,travel,1474
458,youth,1353
459,aspir,712
460,encourag,1236
461,greatest,1409
462,strang,1514
463,former,1368
464,plant,1254
465,pay,1514
466,honest,1184
467,requir,1447
468,passag,1302
469,capit,1104
470,cloth,1519
473,pain,1514
474,occur,1380
475,nearli,1507
476,contact,862
477,pioneer,413
478,crisi,576
479,orat,489
480,attain,1049
481,nativ,1182
482,evid,1476
483,add,1323
484,genuin,907
485,accord,1508
486,vast,1186
488,born,1521
489,independ,1114
490,childhood,761
491,five,1577
492,secur,1423
493,neither,1547
494,addit,1256
495,darkest,356
497,aid,1320
498,affect,1436
501,got,1458
503,prosper,972
504,purchas,1095
506,determin,1468
507,respons,1274
508,quarter,1433
509,suffici,1393
510,enthusiasm,944
511,poor,1562
512,salt,975
513,request,1177
515,admir,1475
516,forward,1527
517,tutor,344
518,busi,1555
519,entir,1489
520,coal,860
522,equal,1517
