Text#,Title,Authors,Language,Issued,URL,Words
27258,From Slave to College President: Being the Life Story of Booker T. Washington,"Pike, G. Holden (Godfrey Holden), 1836-",en,2008-11-14,https://www.gutenberg.org/files/27258/27258-h/27258-h.htm,30251
38331,"Frédérique, vol. 1","Kock, Paul de, 1793-1871",en,2011-12-17,https://www.gutenberg.org/files/38331/38331-h/38331-h.htm,109272
1740,The Flying U's Last Stand,"Bower, B. M., 1871-1940",en,1999-05-01,https://www.gutenberg.org/files/1740/1740-h/1740-h.htm,80105
7857,The Way of an Indian,"Remington, Frederic, 1861-1909",en,2005-04-01,https://www.gutenberg.org/files/7857/7857-h/7857-h.htm,27804
48990,Old-Dad,"Abbott, Eleanor Hallowell, 1872-1958",en,2015-05-18,https://www.gutenberg.org/files/48990/48990-h/48990-h.htm,41562
22892,The Best Made Plans,"Cole, Everett B., 1910-2001; Van Dongen, H. R., 1920-2010 [Illustrator]",en,2007-10-05,https://www.gutenberg.org/files/22892/22892-h/22892-h.htm,42834
19165,"Eulogy on Chief-Justice Chase
","Evarts, William Maxwell, 1818-1901",en,2006-09-03,https://www.gutenberg.org/files/19165/19165-h/19165-h.htm,11205
28619,The Cuckoo Clock,"Molesworth, Mrs., 1839-1921; Kirk, Maria Louise, 1860-1938 [Illustrator]",en,2009-04-27,https://www.gutenberg.org/files/28619/28619-h/28619-h.htm,45110
2158,The Prime Minister,"Trollope, Anthony, 1815-1882",en,2000-04-01,https://www.gutenberg.org/files/2158/2158-h/2158-h.htm,284749
58394,Anatomy of the Cat,"Reighard, Jacob, 1861-1942; Jennings, H. S. (Herbert Spencer), 1868-1947; Jennings, Louise Burridge [Illustrator]",en,2018-12-01,https://www.gutenberg.org/files/58394/58394-h/58394-h.htm,174625
18001,"The American Missionary — Volume 49, No. 04, April, 1895",Various,en,2006-03-16,https://www.gutenberg.org/files/18001/18001-h/18001-h.htm,17264
56942,"Ancient, Curious, and Famous Wills","Harris, Virgil M. (Virgil McClure), 1862-1924?",en,2018-04-08,https://www.gutenberg.org/files/56942/56942-h/56942-h.htm,192624
9470,His Hour,"Glyn, Elinor, 1864-1943",en,2005-12-01,https://www.gutenberg.org/cache/epub/9470/pg9470.html,55483
24976,Roger Trewinion,"Hocking, Joseph, 1860-1937; King, Gunning, 1859-1940 [Illustrator]",en,2008-04-02,https://www.gutenberg.org/files/24976/24976-h/24976-h.htm,95626
5555,Margery (Gred): A Tale Of Old Nuremberg — Volume 04,"Ebers, Georg, 1837-1898; Bell, Clara, 1834-1927 [Translator]",en,2004-04-01,https://www.gutenberg.org/cache/epub/5555/pg5555.html,18254
37669,"In the Arctic Seas
A Narrative of the Discovery of the Fate of Sir John Franklin and his Companions","M'Clintock, Francis Leopold, Sir, 1819-1907; Murchison, Roderick Impey, Sir, 1792-1871 [Author of introduction, etc.]",en,2011-10-08,https://www.gutenberg.org/files/37669/37669-h/37669-h.htm,97520
7628,Devereux — Volume 05,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",en,2005-03-01,https://www.gutenberg.org/cache/epub/7628/pg7628.html,17373
35997,The Jungle Book,"Kipling, Rudyard, 1865-1936",en,2011-04-30,https://www.gutenberg.org/files/35997/35997-h/35997-h.htm,52919
59234,"Obstetrical Nursing
A Text-Book on the Nursing Care of the Expectant Mother, the Woman in Labor, the Young Mother and Her Baby","Van Blarcom, Carolyn Conant, 1875-1961",en,2019-04-09,https://www.gutenberg.org/files/59234/59234-h/59234-h.htm,167249
4120,Diary of Samuel Pepys — Volume 04: March/April 1659-1660,"Pepys, Samuel, 1633-1703; Braybrooke, Richard Griffin, Baron, 1783-1858 [Editor]; Wheatley, Henry B. (Henry Benjamin), 1838-1917 [Editor]; Bright, Mynors, 1818-1883 [Translator]",en,2004-11-29,https://www.gutenberg.org/cache/epub/4120/pg4120.html,16933
56633,The City That Was,"Smith, Stephen, 1823-1922",en,2018-02-24,https://www.gutenberg.org/files/56633/56633-h/56633-h.htm,35473
70156,The house of the wizard,"Taylor, Mary Imlay, 1878-1938",en,2023-02-27,https://www.gutenberg.org/files/70156/70156-h/70156-h.htm,68798
6731,The Duenna: A Comic Opera,"Sheridan, Richard Brinsley, 1751-1816",en,2004-10-01,https://www.gutenberg.org/cache/epub/6731/pg6731.html,16715
6330,Amanda: A Daughter of the Mennonites,"Myers, Anna Balmer",en,2004-08-01,https://www.gutenberg.org/files/6330/6330-h/6330-h.htm,71231
20044,Riders of the Silences,"Brand, Max, 1892-1944",en,2006-12-07,https://www.gutenberg.org/files/20044/20044-h/20044-h.htm,70258
30939,"The Works of Robert Louis Stevenson - Swanston Edition, Vol. 12","Stevenson, Robert Louis, 1850-1894",en,2010-01-11,https://www.gutenberg.org/files/30939/30939-h/30939-h.htm,88547
3354,"Letters to His Son, 1750
On the Fine Art of Becoming a Man of the World and a Gentleman","Chesterfield, Philip Dormer Stanhope, Earl of, 1694-1773",en,2004-12-01,https://www.gutenberg.org/cache/epub/3354/pg3354.html,34145
